HeroId,HeroName,Phase,Nature,PhiToReach,SkillName,SkillDesc
HERO_MIRAGE,蜃影,P1,Identity,0,身份,1 颗主球；连击达 8 时分裂 1 颗持续 6s 的临时球
HERO_MIRAGE,蜃影,P2,Scale,30,蓄势,连击阈值降至 6
HERO_MIRAGE,蜃影,P3,Active,50,转折,主动「幻潮」：复制场上所有球，最多 +2 颗临时球，持续 6s
HERO_MIRAGE,蜃影,P4,Scale,70,共鸣,分裂生成的临时球：数量 1 → 2 颗（仅增加数量，不延长存在时间）
HERO_MIRAGE,蜃影,P5,Climax,100,收束,连击达 4 时分裂 1 颗临时球；场上每多 1 颗物理球挡板 +4%，上限 +12%
HERO_PULSE,脉冲,P1,Identity,0,身份,节拍系统上线：每次挡板有效改向 +1 节拍，每 3s 无改向 -1；每节拍球速 +3%，上限 +12%
HERO_PULSE,脉冲,P2,Scale,30,蓄势,节拍上限提高到 5
HERO_PULSE,脉冲,P3,Active,50,转折,主动「爆点」：锁定当前最高节拍 5s，期间速度上限提高至 6.0
HERO_PULSE,脉冲,P4,Scale,70,共鸣,节拍系统基础 Scaling 提升：每节拍球速 +3% → +5%，速度上限 +12% → +16%
HERO_PULSE,脉冲,P5,Climax,100,收束,高节拍（≥4）时每第 3 次命中获得 1 次穿透
HERO_RIFT,裂痕,P1,Identity,0,身份,蓄力满 5 点后主球获得 1 次穿透，最多存 2 次（与道具裂穿共用穿透计数池）
HERO_RIFT,裂痕,P2,Scale,30,蓄势,穿透储存上限提高到 3
HERO_RIFT,裂痕,P3,Active,50,转折,主动「贯裂」：主球立即获得 4 次穿透 + 12% 速度，持续到耗尽或 6s
HERO_RIFT,裂痕,P4,Scale,70,共鸣,蓄力满释放时主球获得穿透 1 → 2 次（储存上限保持 3 次），蓄力阈值保持 5
HERO_RIFT,裂痕,P5,Climax,100,收束,蓄力阈值降至 4；穿透命中砖块返还 1 点蓄力（每次飞行最多返还 2 点）
HERO_REFRACT,折光,P1,Identity,0,身份,完成折射循环后，下一次侧墙反弹速度 +8%，持续 3s
HERO_REFRACT,折光,P2,Scale,30,蓄势,折射循环速度加成提高到 +12%；标记持续 2.5s 延长到 3s
HERO_REFRACT,折光,P3,Active,50,转折,主动「镜界」：本方半场生成一面 6s 镜面，只与本方弹球碰撞
HERO_REFRACT,折光,P4,Scale,70,共鸣,折射循环的速度加成改为可叠加：每次循环 +6% 侧墙反弹速度，最多叠加 3 层（合计 +18%），折射标记持续 3s → 4s
HERO_REFRACT,折光,P5,Climax,100,收束,每完成 2 次折射循环，镜界冷却 -3s；所有球经过镜面后获得“墙面命中不降速”
